,index,ci_course_no,test_time,ci_class_name,ci_student_number,ci_teacher_name,ci_class_unit
109,109,T5130F4001,0,"音乐学（音乐剧）195班,音乐学（音乐教育）191班,音乐学（音乐教育）192班,音乐学（音乐教育）193班,音乐学（音乐表演）194班",30,-1,大学英语
110,110,T5130F4001,0,"音乐学（音乐剧）195班,音乐学（音乐教育）191班,音乐学（音乐教育）192班,音乐学（音乐教育）193班,音乐学（音乐表演）194班",28,-1,大学英语
111,111,T5130F4001,0,"音乐学（音乐剧）195班,音乐学（音乐教育）191班,音乐学（音乐教育）192班,音乐学（音乐教育）193班,音乐学（音乐表演）194班",29,-1,大学英语
112,112,T5130F4001,0,"音乐学（音乐剧）195班,音乐学（音乐教育）191班,音乐学（音乐教育）192班,音乐学（音乐教育）193班,音乐学（音乐表演）194班",30,-1,大学英语
113,113,T5130F4001,0,"音乐学（音乐剧）195班,音乐学（音乐教育）191班,音乐学（音乐教育）192班,音乐学（音乐教育）193班,音乐学（音乐表演）194班",29,-1,大学英语
114,114,T5130F4001,0,"体育教育191班,体育教育192班,运动训练191班,运动训练192班",33,-1,大学英语
115,115,T5130F4001,0,"体育教育191班,体育教育192班,运动训练191班,运动训练192班",32,-1,大学英语
116,116,T5130F4001,0,"体育教育191班,体育教育192班,运动训练191班,运动训练192班",31,-1,大学英语
117,117,T5130F4001,0,"表演(茶艺表演方向)191班,舞蹈学191班",39,-1,大学英语
118,118,T5130F4001,0,物联网工程191班,26,-1,大学英语
119,119,T5130F4001,0,物联网工程192班,26,-1,大学英语
120,120,T5130F4001,0,"人工智能班191班,建筑环境与能源应用工程191班",37,-1,大学英语
121,121,T5130F4001,0,人工智能班191班,37,-1,大学英语
122,122,T5130F4001,0,"光电信息科学与工程191班,光电信息科学与工程192班",44,-1,大学英语
123,123,T5130F4001,0,"社会工作191班,人力资源管理191班,人力资源管理192班,劳动与社会保障191班,公共关系学191班,公共关系学192班",39,-1,大学英语
