ci_course_no,ci_course_name,ci_teacher_name,ci_teacher_group,ci_class_name,ci_student_number,ci_class_att,ci_class_sign,ci_class_dep,ci_class_stat,ci_exam_type,ci_union_no,ci_original_remark,ci_appoint,ci_remark
Z6120B0009,信号与系统,朱莉,,物联网工程[191-2]班,53,必修,1,信工学院,0,笔试考试,,,0,
720GS006,形势与政策（2）,舒芬,,"电子信息类[206-8]班,测控技术与仪器[201-2]班",142,必修,1,马克思主义学院,0,课程论文（报告）,,,0,
720GS006,形势与政策（2）,蒋品,,电子信息类[201-5]班,148,必修,1,马克思主义学院,0,课程论文（报告）,,,0,
610ZP002,电路分析实验,曹晔,,电子信息类205班,28,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,曹晔,,电子信息类206班,29,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,胡建功:张强,,电子信息类201班,35,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,胡建功:张强,,电子信息类203班,32,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,胡建功:张强,,电子信息类202班,32,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,胡建功:张强,,电子信息类204班,35,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,曹晔,,电子信息类207班,29,必修,1,信工学院,0,其他,,,0,
610ZP002,电路分析实验,曹晔,,电子信息类208班,31,必修,1,信工学院,0,其他,,,0,
210GX001,大学生心理健康指导,李群,,"电子信息类[205-8]班,高等研究院稀土实验班201班",148,必修,1,公共课排课,0,笔试考试,,,0,
210GX001,大学生心理健康指导,吴斯亮,,"高等研究院本硕实验班201班,电子信息类[201-4]班",154,必修,1,公共课排课,0,笔试考试,,,0,
720GS002,中国近现代史纲要,鄢玉枝,,电子信息类[205-8]班,114,必修,1,马克思主义学院,0,笔试考试,,,0,
720GS002,中国近现代史纲要,徐卫东,,电子信息类[201-4]班,121,必修,1,马克思主义学院,0,笔试考试,,,0,
